#metadata_invoices#;;;;;;;;;;;;;;;
partIndex;1;;;;;;;;;;;;;;
partCreationDate;20/02/2018 22:39;;;;;;;;;;;;;;
totalParts;1;;;;;;;;;;;;;;
totalSubscribers;5000;;;;;;;;;;;;;;
totalInvoices;5000;;;;;;;;;;;;;;
totalSubscriptions;5000;;;;;;;;;;;;;;
formatVersion;1.7.2;;;;;;;;;;;;;;
#globalinvoicedata#;;;;;;;;;;;;;;;
01/03/2018;01/03/2018;18/01/2018;17/02/2018;36/33/4336  3:33:33;17/02/2018 23:59;;;;;;;;;;
#subscriber#;;;;;;;;;;;;;;;
1132316;823636267;2;0;3;00000000T;Juan;Perez;;;;;;;ESPA;28011
#billing_account#;;;;;;;;;;;;;;;
143242426;;-10.258.933;ES641010101010101;first;;;;;;;;;;;
#invoice#;;;;;;;;;;;;;;;
1-201802-361376175315;7.520.000;IVA;0.210000;3.463.333;9.100.000;0.000000;9.100.000;9.100.000;;;;;;;
#subscription#;;;;;;;;;;;;;;;
3751653;S3756173517;600000001;7.524.494;IVA;0.210000;1.580.144;9.104.638;0.000000;18/01/2018;17/02/2018;;;;;
19/01/2018 0:11;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;631;631;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
21/01/2018 13:52;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;12;12;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 0:47;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;302;302;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 8:58;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;18;18;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 10:11;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;77;77;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
26/01/2018 20:54;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;55;55;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
27/01/2018 10:41;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;706;706;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
28/01/2018 13:14;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;4;4;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
28/01/2018 13:14;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;55;55;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
29/01/2018 20:42;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;868;868;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
30/01/2018 0:11;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
30/01/2018 23:07;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;VOICE_MO;12141462315;1;28;28;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
30/01/2018 23:08;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;VOICE_MO;12141462315;1;22;22;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
31/01/2018 21:26;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;16;16;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
31/01/2018 23:59;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;1413;1413;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
01/02/2018 0:31;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;926;926;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 9:26;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 16:05;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;Call_Mo_HomeNetwork_NA_NatFixed_NA_AllDays;VOICE_MO;34666611161;1;121;121;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 19:12;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;Call_Mo_HomeNetwork_NA_VoiceMail_NA_AllDays;VOICE_MO;3422123;1;4;4;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
02/02/2018 19:16;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;79;79;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 20:13;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;VOICE_MO;12141462315;1;5;5;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 20:57;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;Call_Mo_HomeNetwork_NA_IntZone3_NA_AllDays;VOICE_MO;12141462315;1;149;149;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
03/02/2018 21:06;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;Call_Mo_HomeNetwork_NA_NatMobile_NA_AllDays;VOICE_MO;34666611161;1;8;8;0.000000;IVA;0.210000;0.000000;0.000000;0.000000;;
